,HIERARCHY_LEVEL,CURRENCY,RUN_TYPE,30/06/2022,PHP,IR,CS,VA,SA,INFL,AuM_UL,AuM_AZFR
172,ANN,EUR,MORB_LEVEL_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,ANN,EUR,LAPSE_LEVEL_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,ANN,EUR,LAPSE_LEVEL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,ANN,EUR,LAPSE_MASS,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,ANN,EUR,MAINT_EXP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,ANN,EUR,MORT_LEVEL_CAT,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,ANN,EUR,REVISION,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,CDFIN,EUR,MORT_LEVEL_UP,8167.729999996722,GROSS,8167.729999996722,8167.729999996722,8167.729999996722,8167.729999996722,8167.729999996722,8167.729999996722,8167.729999996722
184,CDFIN,EUR,LONG_LEVEL_DOWN,19242.839999996126,GROSS,19242.839999996126,19242.839999996126,19242.839999996126,19242.839999996126,19242.839999996126,19242.839999996126,19242.839999996126
185,CDFIN,EUR,MORB_LEVEL_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,CDFIN,EUR,LAPSE_LEVEL_UP,656172.9099999964,GROSS,656172.9099999964,656172.9099999964,656172.9099999964,656172.9099999964,656172.9099999964,656172.9099999964,656172.9099999964
190,CDFIN,EUR,LAPSE_LEVEL_DOWN,1794457.049999997,GROSS,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997
191,CDFIN,EUR,LAPSE_MASS,1055512.0600000024,GROSS,1055512.0600000024,1055512.0600000024,1055512.0600000024,1055512.0600000024,1055512.0600000024,1055512.0600000024,1055512.0600000024
192,CDFIN,EUR,MAINT_EXP,1192818.1899999976,GROSS,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976
193,CDFIN,EUR,MORT_LEVEL_CAT,4369.869999997318,GROSS,4369.869999997318,4369.869999997318,4369.869999997318,4369.869999997318,4369.869999997318,4369.869999997318,4369.869999997318
194,CDFIN,EUR,REVISION,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,LXEUR,EUR,MORT_LEVEL_UP,8736.020000003278,GROSS,8736.020000003278,8736.020000003278,8736.020000003278,8736.020000003278,8736.020000003278,8736.020000003278,8736.020000003278
197,LXEUR,EUR,LONG_LEVEL_DOWN,29861.530000001192,GROSS,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192
198,LXEUR,EUR,MORB_LEVEL_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,LXEUR,EUR,LAPSE_LEVEL_UP,181980.12000000477,GROSS,181980.12000000477,181980.12000000477,181980.12000000477,181980.12000000477,181980.12000000477,181980.12000000477,181980.12000000477
203,LXEUR,EUR,LAPSE_LEVEL_DOWN,1299371.960000001,GROSS,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001
204,LXEUR,EUR,LAPSE_MASS,174643.65000000596,GROSS,174643.65000000596,174643.65000000596,174643.65000000596,174643.65000000596,174643.65000000596,174643.65000000596,174643.65000000596
205,LXEUR,EUR,MAINT_EXP,594096.0800000057,GROSS,594096.0800000057,594096.0800000057,594096.0800000057,594096.0800000057,594096.0800000057,594096.0800000057,594096.0800000057
206,LXEUR,EUR,MORT_LEVEL_CAT,483.0400000065565,GROSS,483.0400000065565,483.0400000065565,483.0400000065565,483.0400000065565,483.0400000065565,483.0400000065565,483.0400000065565
207,LXEUR,EUR,REVISION,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
