,HIERARCHY_LEVEL,CURRENCY,RUN_TYPE,30/06/2022,PHP,IR,CS,VA,SA,INFL,AuM_UL,AuM_AZFR
62,LXCLAWOPB,EUR,INT_DOWN,178214.5049999999,NET,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999
63,LXCLAWOPB,EUR,EQ_GLOBAL_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,LXCLAWOPB,EUR,EQ_OTHER_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,LXCLAWOPB,EUR,RE_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,LXCLAWOPB,EUR,FX_USD_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,LXCLAWOPB,EUR,FX_USD_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,LXCLAWOPB,EUR,FX_CHF_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,LXCLAWOPB,EUR,FX_CHF_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,LXCLAWOPB,EUR,FX_GBP_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,LXCLAWOPB,EUR,FX_GBP_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ANN,EUR,INT_UP,-517923.0050000008,NET,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008
77,ANN,EUR,INT_DOWN,383649.7619999992,NET,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992
78,ANN,EUR,EQ_GLOBAL_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,ANN,EUR,EQ_OTHER_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,ANN,EUR,RE_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,ANN,EUR,FX_USD_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,ANN,EUR,FX_USD_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,ANN,EUR,FX_CHF_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,ANN,EUR,FX_CHF_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,ANN,EUR,FX_GBP_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,ANN,EUR,FX_GBP_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,CDFIN,EUR,INT_UP,-8341547.0,NET,-8341547.0,-8341547.0,-8341547.0,-8341547.0,-8341547.0,-8341547.0,-8341547.0
92,CDFIN,EUR,INT_DOWN,6277338.469999999,NET,6277338.469999999,6277338.469999999,6277338.469999999,6277338.469999999,6277338.469999999,6277338.469999999,6277338.469999999
93,CDFIN,EUR,EQ_GLOBAL_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,CDFIN,EUR,EQ_OTHER_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,CDFIN,EUR,RE_DOWN,-856096.0799999982,NET,-856096.0799999982,-856096.0799999982,-856096.0799999982,-856096.0799999982,-856096.0799999982,-856096.0799999982,-856096.0799999982
99,CDFIN,EUR,FX_USD_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,CDFIN,EUR,FX_USD_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,CDFIN,EUR,FX_CHF_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,CDFIN,EUR,FX_CHF_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,CDFIN,EUR,FX_GBP_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,CDFIN,EUR,FX_GBP_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,LXEUR,EUR,INT_UP,-2961435.1999999955,NET,-2961435.1999999955,-2961435.1999999955,-2961435.1999999955,-2961435.1999999955,-2961435.1999999955,-2961435.1999999955,-2961435.1999999955
107,LXEUR,EUR,INT_DOWN,2258005.200000003,NET,2258005.200000003,2258005.200000003,2258005.200000003,2258005.200000003,2258005.200000003,2258005.200000003,2258005.200000003
108,LXEUR,EUR,EQ_GLOBAL_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,LXEUR,EUR,EQ_OTHER_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,LXEUR,EUR,RE_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,LXEUR,EUR,FX_USD_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,LXEUR,EUR,FX_USD_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,LXEUR,EUR,FX_CHF_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,LXEUR,EUR,FX_CHF_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,LXEUR,EUR,FX_GBP_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,LXEUR,EUR,FX_GBP_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,UL,EUR,INT_UP,-5371167.0,GROSS,-5371167.0,-5371167.0,-5371167.0,-5371167.0,-5371167.0,-5371167.0,-5371167.0
122,UL,EUR,INT_DOWN,3997550.0,GROSS,3997550.0,3997550.0,3997550.0,3997550.0,3997550.0,3997550.0,3997550.0
123,UL,EUR,EQ_GLOBAL_DOWN,14852167.0,GROSS,14852167.0,14852167.0,14852167.0,14852167.0,14852167.0,14486222.496800955,14486222.496800955
124,UL,EUR,EQ_OTHER_DOWN,34881890.0,GROSS,34881890.0,34881890.0,34881890.0,34881890.0,34881890.0,34022430.50788052,34022430.50788052
128,UL,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,UL,EUR,FX_USD_DOWN,-1671852.0,GROSS,-1671852.0,-1671852.0,-1671852.0,-1671852.0,-1671852.0,-1671852.0,-1671852.0
130,UL,EUR,FX_USD_UP,1671852.0,GROSS,1671852.0,1671852.0,1671852.0,1671852.0,1671852.0,1671852.0,1671852.0
131,UL,EUR,FX_CHF_DOWN,-127809.0,GROSS,-127809.0,-127809.0,-127809.0,-127809.0,-127809.0,-127809.0,-127809.0
132,UL,EUR,FX_CHF_UP,127809.0,GROSS,127809.0,127809.0,127809.0,127809.0,127809.0,127809.0,127809.0
133,UL,EUR,FX_GBP_DOWN,-210154.0,GROSS,-210154.0,-210154.0,-210154.0,-210154.0,-210154.0,-210154.0,-210154.0
134,UL,EUR,FX_GBP_UP,210154.0,GROSS,210154.0,210154.0,210154.0,210154.0,210154.0,210154.0,210154.0
136,AZFR,EUR,INT_UP,7217472.8000000715,GROSS,7217472.8000000715,7217472.8000000715,7217472.8000000715,7217472.8000000715,7217472.8000000715,7217472.8000000715,7217472.8000000715
137,AZFR,EUR,INT_DOWN,177982380.50000006,GROSS,177982380.50000006,177982380.50000006,177982380.50000006,177982380.50000006,177982380.50000006,177982380.50000006,177982380.50000006
138,AZFR,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,AZFR,EUR,EQ_OTHER_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,AZFR,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,AZFR,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,AZFR,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,AZFR,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,AZFR,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,AZFR,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,AZFR,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,NEMIAN,EUR,INT_UP,-419475.3900000006,GROSS,-419475.3900000006,-419475.3900000006,-419475.3900000006,-419475.3900000006,-419475.3900000006,-419475.3900000006,-419475.3900000006
152,NEMIAN,EUR,INT_DOWN,304163.37000000477,GROSS,304163.37000000477,304163.37000000477,304163.37000000477,304163.37000000477,304163.37000000477,304163.37000000477,304163.37000000477
153,NEMIAN,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,NEMIAN,EUR,EQ_OTHER_DOWN,3427600.579999998,GROSS,3427600.579999998,3427600.579999998,3427600.579999998,3427600.5799999987,3427600.5799999987,3427600.5799999987,3427600.5799999987
158,NEMIAN,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,NEMIAN,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,NEMIAN,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,NEMIAN,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,NEMIAN,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,NEMIAN,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,NEMIAN,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,LXCLA,EUR,INT_UP,-4161358.1899999976,GROSS,-4161358.1899999976,-4161358.1899999976,-4161358.1899999976,-4161358.1899999976,-4161358.1899999976,-4161358.1899999976,-4161358.1899999976
167,LXCLA,EUR,INT_DOWN,3185538.430000007,GROSS,3185538.430000007,3185538.430000007,3185538.430000007,3185538.430000007,3185538.430000007,3185538.430000007,3185538.430000007
168,LXCLA,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,LXCLA,EUR,EQ_OTHER_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,LXCLA,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,LXCLA,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,LXCLA,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,LXCLA,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,LXCLA,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,LXCLA,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,LXCLA,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,LXCLAWOPB,EUR,INT_UP,-231090.12899999972,GROSS,-231090.12899999972,-231090.12899999972,-231090.12899999972,-231090.12899999972,-231090.12899999972,-231090.12899999972,-231090.12899999972
182,LXCLAWOPB,EUR,INT_DOWN,178214.5049999999,GROSS,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999,178214.5049999999
183,LXCLAWOPB,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,LXCLAWOPB,EUR,EQ_OTHER_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,LXCLAWOPB,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,LXCLAWOPB,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,LXCLAWOPB,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,LXCLAWOPB,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,LXCLAWOPB,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,LXCLAWOPB,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,LXCLAWOPB,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,ANN,EUR,INT_UP,-517923.0050000008,GROSS,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008,-517923.0050000008
197,ANN,EUR,INT_DOWN,383649.7619999992,GROSS,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992,383649.7619999992
198,ANN,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,ANN,EUR,EQ_OTHER_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,ANN,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,ANN,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,ANN,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,ANN,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,ANN,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,ANN,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,ANN,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,CDFIN,EUR,INT_UP,-8645889.21,GROSS,-8645889.21,-8645889.21,-8645889.21,-8645889.21,-8645889.21,-8645889.21,-8645889.21
212,CDFIN,EUR,INT_DOWN,6280092.659999996,GROSS,6280092.659999996,6280092.659999996,6280092.659999996,6280092.659999996,6280092.659999996,6280092.659999996,6280092.659999996
213,CDFIN,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,CDFIN,EUR,EQ_OTHER_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,CDFIN,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,CDFIN,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,CDFIN,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,CDFIN,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,CDFIN,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,CDFIN,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,CDFIN,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,LXEUR,EUR,INT_UP,-3068523.9099999964,GROSS,-3068523.9099999964,-3068523.9099999964,-3068523.9099999964,-3068523.9099999964,-3068523.9099999964,-3068523.9099999964,-3068523.9099999964
227,LXEUR,EUR,INT_DOWN,2308078.2600000054,GROSS,2308078.2600000054,2308078.2600000054,2308078.2600000054,2308078.2600000054,2308078.2600000054,2308078.2600000054,2308078.2600000054
228,LXEUR,EUR,EQ_GLOBAL_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,LXEUR,EUR,EQ_OTHER_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,LXEUR,EUR,RE_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,LXEUR,EUR,FX_USD_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,LXEUR,EUR,FX_USD_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,LXEUR,EUR,FX_CHF_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,LXEUR,EUR,FX_CHF_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,LXEUR,EUR,FX_GBP_DOWN,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,LXEUR,EUR,FX_GBP_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
